x Q2 F2 STAT+SYST
2.4300e-06 1.0000e-01 1.5400e-01 2.9800e-04
3.3100e-06 1.5000e-01 2.0700e-01 6.8340e-04
4.1400e-06 1.5000e-01 1.9000e-01 3.1790e-04
5.0200e-06 1.5000e-01 1.8700e-01 5.9200e-04
4.4100e-06 2.0000e-01 2.4700e-01 4.0800e-04
5.5200e-06 2.0000e-01 2.4000e-01 7.0500e-04
6.6900e-06 2.0000e-01 2.2900e-01 2.2700e-04
8.4900e-06 2.0000e-01 2.2500e-01 6.0480e-04
1.1000e-05 2.0000e-01 2.0900e-01 5.4080e-04
3.9800e-05 2.0000e-01 2.1100e-01 -9.7060e-03
2.5100e-04 2.0000e-01 1.8100e-01 4.6879e-03
5.5200e-06 2.5000e-01 2.9100e-01 7.8960e-04
6.9000e-06 2.5000e-01 2.8100e-01 5.7960e-04
8.3600e-06 2.5000e-01 2.6900e-01 7.1820e-04
1.0600e-05 2.5000e-01 2.6200e-01 5.4810e-04
1.3800e-05 2.5000e-01 2.5100e-01 1.0250e-03
2.3000e-05 2.5000e-01 2.4500e-01 4.8020e-03
3.9800e-05 2.5000e-01 2.3700e-01 -2.2752e-03
1.1000e-04 2.5000e-01 2.0000e-01 -8.0000e-05
2.5100e-04 2.5000e-01 1.9600e-01 -1.1368e-03
3.9400e-04 2.5000e-01 1.9500e-01 1.5405e-03
1.5800e-03 2.5000e-01 1.9900e-01 5.3133e-03
6.6200e-06 3.5000e-01 3.5100e-01 1.1088e-03
8.2800e-06 3.5000e-01 3.4400e-01 7.0350e-04
1.0000e-05 3.5000e-01 3.5300e-01 1.0092e-03
1.2700e-05 3.5000e-01 3.2900e-01 6.5200e-04
1.6500e-05 3.5000e-01 3.1700e-01 8.2160e-04
3.2000e-05 3.5000e-01 2.9900e-01 6.1295e-03
6.6200e-05 3.5000e-01 2.8400e-01 -5.0940e-04
1.3000e-04 3.5000e-01 2.5900e-01 1.5540e-04
2.2000e-04 3.5000e-01 2.4200e-01 3.8720e-04
5.0000e-04 3.5000e-01 2.4200e-01 2.7104e-03
2.5100e-03 3.5000e-01 2.0200e-01 1.5554e-03
8.8300e-06 4.0000e-01 3.6500e-01 5.6640e-04
1.1000e-05 4.0000e-01 3.7800e-01 8.1840e-04
1.3300e-05 4.0000e-01 3.6000e-01 1.0353e-03
1.7000e-05 4.0000e-01 3.5700e-01 3.1950e-04
2.2000e-05 4.0000e-01 3.3700e-01 1.4112e-03
3.6800e-05 4.0000e-01 3.3300e-01 7.1048e-03
8.8300e-05 4.0000e-01 3.2100e-01 1.3161e-03
1.7600e-04 4.0000e-01 2.8800e-01 -6.3360e-04
2.9400e-04 4.0000e-01 2.7700e-01 9.1410e-04
6.3100e-04 4.0000e-01 2.6100e-01 9.9180e-04
1.5800e-05 5.0000e-01 4.3300e-01 6.0060e-04
2.1200e-05 5.0000e-01 3.9400e-01 -1.9600e-04
2.7600e-05 5.0000e-01 3.8000e-01 1.4781e-03
3.9800e-05 5.0000e-01 3.6800e-01 7.5235e-03
1.0000e-04 5.0000e-01 3.4900e-01 -3.4900e-04
2.5100e-04 5.0000e-01 3.0800e-01 -1.1088e-03
3.6800e-04 5.0000e-01 3.0100e-01 4.8160e-04
8.0000e-04 5.0000e-01 2.8800e-01 1.4112e-03
3.2000e-03 5.0000e-01 1.8300e-01 1.0065e-03
1.5800e-05 6.5000e-01 4.7200e-01 2.5520e-03
1.6400e-05 6.5000e-01 5.2000e-01 1.9342e-03
3.9800e-05 6.5000e-01 4.7600e-01 6.6500e-04
5.9800e-05 6.5000e-01 4.2000e-01 8.8620e-03
1.0000e-04 6.5000e-01 4.1100e-01 6.5600e-04
2.5100e-04 6.5000e-01 3.6200e-01 1.8462e-03
4.7800e-04 6.5000e-01 3.3300e-01 1.0323e-03
8.0000e-04 6.5000e-01 3.1900e-01 1.0846e-03
3.2000e-03 6.5000e-01 2.2500e-01 1.6650e-03
2.0000e-05 8.5000e-01 6.1700e-01 2.9498e-03
2.0000e-05 8.5000e-01 6.2500e-01 3.3102e-03
3.9800e-05 8.5000e-01 5.6400e-01 2.3562e-03
5.0000e-05 8.5000e-01 5.4600e-01 1.3056e-03
1.0000e-04 8.5000e-01 5.0300e-01 4.0160e-04
2.5100e-04 8.5000e-01 3.9900e-01 3.3034e-03
8.0000e-04 8.5000e-01 3.5100e-01 9.1260e-04
3.2000e-03 8.5000e-01 3.0900e-01 -2.1630e-04
2.0000e-05 1.2000e+00 6.9900e-01 4.0140e-03
3.2000e-05 1.2000e+00 6.8000e-01 3.3350e-03
3.2000e-05 1.2000e+00 6.9800e-01 3.4400e-03
6.3100e-05 1.2000e+00 6.5300e-01 2.8644e-03
8.0000e-05 1.2000e+00 6.0000e-01 1.2558e-03
1.3000e-04 1.2000e+00 5.4500e-01 4.9050e-04
1.5800e-04 1.2000e+00 5.3400e-01 1.9758e-03
3.9800e-04 1.2000e+00 4.9500e-01 3.3165e-03
1.3000e-03 1.2000e+00 3.7400e-01 -3.3660e-04
5.0000e-03 1.2000e+00 2.9900e-01 -1.7342e-03
3.2000e-05 1.5000e+00 8.4700e-01 3.5303e-03
3.2000e-05 1.5000e+00 7.7400e-01 3.0955e-03
5.0000e-05 1.5000e+00 7.7000e-01 3.9676e-03
8.0000e-05 1.5000e+00 7.0500e-01 3.6504e-03
1.3000e-04 1.5000e+00 6.4900e-01 3.5046e-03
2.0000e-04 1.5000e+00 6.1600e-01 -6.1600e-05
3.2000e-04 1.5000e+00 5.8000e-01 5.9160e-03
5.0000e-04 1.5000e+00 5.5000e-01 1.5950e-03
8.0000e-04 1.5000e+00 4.9300e-01 5.4230e-04
1.0000e-03 1.5000e+00 4.6500e-01 2.6040e-03
3.2000e-03 1.5000e+00 4.1200e-01 -2.5132e-03
1.3000e-02 1.5000e+00 3.2400e-01 -4.6008e-03
5.0000e-05 2.0000e+00 8.6300e-01 3.3501e-03
5.0000e-05 2.0000e+00 8.3000e-01 2.7225e-03
8.0000e-05 2.0000e+00 7.6500e-01 3.2088e-03
1.3000e-04 2.0000e+00 7.2700e-01 2.2537e-03
2.0000e-04 2.0000e+00 6.8400e-01 -3.4200e-04
3.2000e-04 2.0000e+00 6.3100e-01 2.3978e-03
5.0000e-04 2.0000e+00 5.7800e-01 2.3120e-03
1.0000e-03 2.0000e+00 5.1200e-01 -5.6320e-04
3.2000e-03 2.0000e+00 4.2800e-01 -3.5952e-03
1.3000e-02 2.0000e+00 3.5800e-01 -4.3318e-03
5.0000e-05 2.7000e+00 9.1300e-01 4.8276e-03
5.0000e-05 2.7000e+00 9.0100e-01 8.8200e-04
8.0000e-05 2.7000e+00 8.9900e-01 6.6900e-03
8.0000e-05 2.7000e+00 8.9200e-01 2.6580e-03
1.3000e-04 2.7000e+00 8.0600e-01 1.9296e-03
2.0000e-04 2.7000e+00 7.8000e-01 7.8000e-04
3.2000e-04 2.7000e+00 7.0200e-01 6.3180e-04
5.0000e-04 2.7000e+00 6.4700e-01 1.9410e-03
8.0000e-04 2.7000e+00 5.9600e-01 1.1920e-03
1.3000e-03 2.7000e+00 5.7000e-01 -9.1200e-04
2.0000e-03 2.7000e+00 4.8400e-01 1.5972e-03
5.0000e-03 2.7000e+00 4.6000e-01 -4.1400e-03
2.0000e-02 2.7000e+00 3.5800e-01 -6.4440e-03
8.0000e-05 3.5000e+00 9.9700e-01 4.2097e-03
8.0000e-05 3.5000e+00 9.7200e-01 1.3356e-03
1.3000e-04 3.5000e+00 9.2800e-01 2.3972e-03
2.0000e-04 3.5000e+00 8.6000e-01 1.8018e-03
3.2000e-04 3.5000e+00 7.9600e-01 3.1800e-04
5.0000e-04 3.5000e+00 7.5400e-01 2.4882e-03
