 SQRT(TAU)     Y      THEORY      ERROR      DATA     DERROR     chi2         ITYPE
    0.0408    0.1100    0.0200    0.0002    0.0340    0.0160  -0.77          cdfLasy05
    0.0408    0.3000    0.0538    0.0004    0.0620    0.0120  -0.46          cdfLasy05
    0.0408    0.5000    0.0875    0.0006    0.0750    0.0150   0.70          cdfLasy05
    0.0408    0.7000    0.1176    0.0007    0.1260    0.0130  -0.42          cdfLasy05
    0.0408    0.8900    0.1406    0.0008    0.1220    0.0160   1.35          cdfLasy05
    0.0408    1.0900    0.1566    0.0009    0.1380    0.0230   0.66          cdfLasy05
    0.0408    1.3300    0.1598    0.0009    0.1680    0.0160  -0.26          cdfLasy05
    0.0408    1.5700    0.1386    0.0011    0.1300    0.0180   0.23          cdfLasy05
    0.0408    1.8100    0.0875    0.0014    0.0290    0.0290   4.07          cdfLasy05
    0.0408    2.0400    0.0093    0.0018   -0.0040    0.0620   0.05          cdfLasy05
    0.0408    2.3100   -0.1128    0.0023   -0.2900    0.1000   3.14          cdfLasy05

    0.0408    0.1000    0.0182    0.0001    0.0210    0.0016  -3.05          d0Lasy_e15
    0.0408    0.3000    0.0538    0.0004    0.0523    0.0018   0.75          d0Lasy_e15
    0.0408    0.5000    0.0875    0.0006    0.0916    0.0021  -3.73          d0Lasy_e15
    0.0408    0.7000    0.1176    0.0007    0.1197    0.0027  -0.62          d0Lasy_e15
    0.0408    0.9000    0.1416    0.0008    0.1452    0.0034  -1.12          d0Lasy_e15
    0.0408    1.1000    0.1572    0.0009    0.1559    0.0045   0.08          d0Lasy_e15
    0.0408    1.3900    0.1570    0.0010    0.1537    0.0091   0.13          d0Lasy_e15
    0.0408    1.7000    0.1149    0.0013    0.1105    0.0058   0.58          d0Lasy_e15
    0.0408    1.9000    0.0601    0.0015    0.0666    0.0130  -0.25          d0Lasy_e15
    0.0408    2.1000   -0.0153    0.0019   -0.0155    0.0081   0.00          d0Lasy_e15
    0.0408    2.3000   -0.1078    0.0023   -0.0997    0.0113  -0.51          d0Lasy_e15
    0.0408    2.5400   -0.2356    0.0029   -0.1910    0.0123 -13.17          d0Lasy_e15
    0.0408    2.9200   -0.4467    0.0039   -0.3997    0.0242  -3.78          d0Lasy_e15

    0.0408    0.1000    0.0195    0.0001    0.0213    0.0020  -0.78          d0Lasy13
    0.0408    0.3000    0.0577    0.0004    0.0546    0.0022   2.04          d0Lasy13
    0.0408    0.5000    0.0934    0.0006    0.0911    0.0024   0.88          d0Lasy13
    0.0408    0.7100    0.1258    0.0007    0.1241    0.0026   0.41          d0Lasy13
    0.0408    0.8900    0.1473    0.0008    0.1415    0.0025   5.44          d0Lasy13
    0.0408    1.1100    0.1630    0.0009    0.1613    0.0031   0.30          d0Lasy13
    0.0408    1.3000    0.1636    0.0009    0.1662    0.0025  -1.10          d0Lasy13
    0.0408    1.4900    0.1486    0.0010    0.1547    0.0026  -5.58          d0Lasy13
    0.0408    1.6600    0.1197    0.0012    0.1106    0.0077   1.40          d0Lasy13
    0.0408    1.8800    0.0587    0.0015    0.0764    0.0115  -2.37          d0Lasy13

    0.0408    0.1000    0.0154    0.0002    0.0200    0.0030  -2.36          CDF_Wasy
    0.0408    0.3000    0.0467    0.0005    0.0570    0.0040  -6.59          CDF_Wasy
    0.0408    0.5000    0.0795    0.0008    0.0810    0.0050  -0.09          CDF_Wasy
    0.0408    0.7000    0.1140    0.0010    0.1170    0.0060  -0.25          CDF_Wasy
    0.0408    0.8900    0.1481    0.0012    0.1460    0.0070   0.09          CDF_Wasy
    0.0408    1.0900    0.1854    0.0014    0.2040    0.0100  -3.45          CDF_Wasy
    0.0408    1.2900    0.2234    0.0016    0.2350    0.0120  -0.93          CDF_Wasy
    0.0408    1.4900    0.2619    0.0017    0.2610    0.0150   0.00          CDF_Wasy
    0.0408    1.6900    0.3018    0.0019    0.3030    0.0140  -0.01          CDF_Wasy
    0.0408    1.9100    0.3514    0.0022    0.3550    0.0140  -0.07          CDF_Wasy
    0.0408    2.1500    0.4225    0.0027    0.4360    0.0160  -0.71          CDF_Wasy
    0.0408    2.4000    0.5304    0.0037    0.5370    0.0180  -0.14          CDF_Wasy
    0.0408    2.6300    0.6641    0.0053    0.6420    0.0260   0.72          CDF_Wasy

    0.0408    0.1000    0.0154    0.0002    0.0139    0.0021   0.50          D0_Wasy
    0.0408    0.3000    0.0467    0.0005    0.0428    0.0026   2.28          D0_Wasy
    0.0408    0.5000    0.0795    0.0008    0.0728    0.0033   4.16          D0_Wasy
    0.0408    0.7000    0.1140    0.0010    0.1059    0.0036   5.08          D0_Wasy
    0.0408    0.9000    0.1500    0.0012    0.1445    0.0038   2.07          D0_Wasy
    0.0408    1.1000    0.1873    0.0014    0.1863    0.0045   0.05          D0_Wasy
    0.0408    1.3000    0.2254    0.0016    0.2250    0.0050   0.00          D0_Wasy
    0.0408    1.5000    0.2639    0.0017    0.2612    0.0050   0.28          D0_Wasy
    0.0408    1.7000    0.3038    0.0019    0.3006    0.0054   0.36          D0_Wasy
    0.0408    1.9000    0.3489    0.0022    0.3473    0.0060   0.07          D0_Wasy
    0.0408    2.1000    0.4055    0.0026    0.4059    0.0071  -0.00          D0_Wasy
    0.0408    2.2900    0.4779    0.0031    0.4765    0.0071   0.04          D0_Wasy
    0.0408    2.5200    0.5968    0.0044    0.5904    0.0076   0.71          D0_Wasy
    0.0408    2.8100    0.7720    0.0093    0.7724    0.0114  -0.00          D0_Wasy

